Pin,Bank,BUFIO2,Pin Description 
AA1,2,NA,PROGRAM_B_2 
AA2,3,LB,IO_L1P_3 
AB2,3,LB,IO_L1N_VREF_3 
Y2,3,LB,IO_L2P_3 
Y1,3,LB,IO_L2N_3 
W4,3,LB,IO_L7P_3 
Y4,3,LB,IO_L7N_3 
Y3,3,LB,IO_L8P_3 
AB3,3,LB,IO_L8N_3 
W3,3,LB,IO_L9P_3 
W1,3,LB,IO_L9N_3 
U8,3,LB,IO_L10P_3 
T7,3,LB,IO_L10N_3 
T8,3,LB,IO_L11P_3 
R7,3,LB,IO_L11N_3 
AA4,3,LB,IO_L12P_3 
AB4,3,LB,IO_L12N_3 
U6,3,LB,IO_L13P_3 
V5,3,LB,IO_L13N_3 
U4,3,LB,IO_L18P_3 
V3,3,LB,IO_L18N_3 
R9,3,LB,IO_L19P_3 
R8,3,LB,IO_L19N_3 
T6,3,LB,IO_L20P_3 
T5,3,LB,IO_L20N_3 
P4,3,LB,IO_L21P_3 
R4,3,LB,IO_L21N_3 
P6,3,LB,IO_L22P_3 
P5,3,LB,IO_L22N_3 
P8,3,LB,IO_L23P_3 
P7,3,LB,IO_L23N_3 
N7,3,LB,IO_L24P_3 
N6,3,LB,IO_L24N_3 
M8,3,LB,IO_L25P_3 
M7,3,LB,IO_L25N_3 
T4,3,LB,IO_L26P_3 
T3,3,LB,IO_L26N_3 
M6,3,LB,IO_L31P_3 
L6,3,LB,IO_L31N_VREF_3 
V2,3,LB,IO_L32P_M3DQ14_3 
V1,3,LB,IO_L32N_M3DQ15_3 
U3,3,LB,IO_L33P_M3DQ12_3 
U1,3,LB,IO_L33N_M3DQ13_3 
T2,3,LB,IO_L34P_M3UDQS_3 
T1,3,LB,IO_L34N_M3UDQSN_3 
R3,3,LB,IO_L35P_M3DQ10_3 
R1,3,LB,IO_L35N_M3DQ11_3 
P2,3,LB,IO_L36P_M3DQ8_3 
P1,3,LB,IO_L36N_M3DQ9_3 
N3,3,LB,IO_L37P_M3DQ0_3 
N1,3,LB,IO_L37N_M3DQ1_3 
M2,3,LB,IO_L38P_M3DQ2_3 
M1,3,LB,IO_L38N_M3DQ3_3 
L3,3,LB,IO_L39P_M3LDQS_3 
L1,3,LB,IO_L39N_M3LDQSN_3 
K2,3,LB,IO_L40P_M3DQ6_3 
K1,3,LB,IO_L40N_M3DQ7_3 
J3,3,LB,IO_L41P_GCLK27_M3DQ4_3 
J1,3,LB,IO_L41N_GCLK26_M3DQ5_3 
H2,3,LB,IO_L42P_GCLK25_TRDY2_M3UDM_3 
H1,3,LB,IO_L42N_GCLK24_M3LDM_3 
N4,3,LT,IO_L43P_GCLK23_M3RASN_3 
P3,3,LT,IO_L43N_GCLK22_IRDY2_M3CASN_3 
G3,3,LT,IO_L44P_GCLK21_M3A5_3 
G1,3,LT,IO_L44N_GCLK20_M3A6_3 
M4,3,LT,IO_L45P_M3A3_3 
M3,3,LT,IO_L45N_M3ODT_3 
F2,3,LT,IO_L46P_M3CLK_3 
F1,3,LT,IO_L46N_M3CLKN_3 
M5,3,LT,IO_L47P_M3A0_3 
L4,3,LT,IO_L47N_M3A1_3 
E3,3,LT,IO_L48P_M3BA0_3 
E1,3,LT,IO_L48N_M3BA1_3 
K4,3,LT,IO_L49P_M3A7_3 
K3,3,LT,IO_L49N_M3A2_3 
D2,3,LT,IO_L50P_M3WE_3 
D1,3,LT,IO_L50N_M3BA2_3 
K6,3,LT,IO_L51P_M3A10_3 
K5,3,LT,IO_L51N_M3A4_3 
C3,3,LT,IO_L52P_M3A8_3 
C1,3,LT,IO_L52N_M3A9_3 
J6,3,LT,IO_L53P_M3CKE_3 
J4,3,LT,IO_L53N_M3A12_3 
B2,3,LT,IO_L54P_M3RESET_3 
B1,3,LT,IO_L54N_M3A11_3 
H4,3,LT,IO_L55P_M3A13_3 
H3,3,LT,IO_L55N_M3A14_3 
H6,3,LT,IO_L57P_3 
H5,3,LT,IO_L57N_VREF_3 
H8,3,LT,IO_L58P_3 
J7,3,LT,IO_L58N_3 
K8,3,LT,IO_L59P_3 
K7,3,LT,IO_L59N_3 
E4,3,LT,IO_L60P_3 
F3,3,LT,IO_L60N_3 
G8,3,LT,IO_L73P_3 
G7,3,LT,IO_L73N_3 
G6,3,LT,IO_L74P_3 
G4,3,LT,IO_L74N_3 
F5,3,LT,IO_L75P_3 
E5,3,LT,IO_L75N_3 
F8,3,LT,IO_L80P_3 
F7,3,LT,IO_L80N_3 
C4,3,LT,IO_L81P_3 
D3,3,LT,IO_L81N_3 
E6,3,LT,IO_L82P_3 
D5,3,LT,IO_L82N_3 
A3,3,LT,IO_L83P_3 
A2,3,LT,IO_L83N_VREF_3 
A1,NA,NA,GND 
A22,NA,NA,GND 
AA13,NA,NA,GND 
AA17,NA,NA,GND 
AA5,NA,NA,GND 
AA9,NA,NA,GND 
AB1,NA,NA,GND 
AB22,NA,NA,GND 
B13,NA,NA,GND 
B17,NA,NA,GND 
B5,NA,NA,GND 
B9,NA,NA,GND 
D18,NA,NA,GND 
D4,NA,NA,GND 
E11,NA,NA,GND 
E15,NA,NA,GND 
E2,NA,NA,GND 
E21,NA,NA,GND 
E7,NA,NA,GND 
G18,NA,NA,GND 
G5,NA,NA,GND 
H7,NA,NA,GND 
J11,NA,NA,GND 
J13,NA,NA,GND 
J15,NA,NA,GND 
J2,NA,NA,GND 
J20,NA,NA,GND 
J9,NA,NA,GND 
K10,NA,NA,GND 
K12,NA,NA,GND 
K14,NA,NA,GND 
L11,NA,NA,GND 
L13,NA,NA,GND 
L18,NA,NA,GND 
L5,NA,NA,GND 
L9,NA,NA,GND 
M10,NA,NA,GND 
M12,NA,NA,GND 
M14,NA,NA,GND 
N11,NA,NA,GND 
N13,NA,NA,GND 
N17,NA,NA,GND 
N2,NA,NA,GND 
N21,NA,NA,GND 
N9,NA,NA,GND 
P10,NA,NA,GND 
P12,NA,NA,GND 
P14,NA,NA,GND 
R18,NA,NA,GND 
R5,NA,NA,GND 
U2,NA,NA,GND 
U21,NA,NA,GND 
U7,NA,NA,GND 
V10,NA,NA,GND 
V14,NA,NA,GND 
V4,NA,NA,GND 
W16,NA,NA,GND 
W19,NA,NA,GND 
W7,NA,NA,GND 
D16,NA,NA,VCCAUX 
F11,NA,NA,VCCAUX 
G12,NA,NA,VCCAUX 
H15,NA,NA,VCCAUX 
H9,NA,NA,VCCAUX 
K15,NA,NA,VCCAUX 
L8,NA,NA,VCCAUX 
M15,NA,NA,VCCAUX 
N8,NA,NA,VCCAUX 
R10,NA,NA,VCCAUX 
R12,NA,NA,VCCAUX 
R6,NA,NA,VCCAUX 
U11,NA,NA,VCCAUX 
V6,NA,NA,VCCAUX 
J10,NA,NA,VCCINT 
J12,NA,NA,VCCINT 
J14,NA,NA,VCCINT 
J8,NA,NA,VCCINT 
K11,NA,NA,VCCINT 
K13,NA,NA,VCCINT 
K9,NA,NA,VCCINT 
L10,NA,NA,VCCINT 
L12,NA,NA,VCCINT 
L14,NA,NA,VCCINT 
M11,NA,NA,VCCINT 
M13,NA,NA,VCCINT 
M9,NA,NA,VCCINT 
N10,NA,NA,VCCINT 
N12,NA,NA,VCCINT 
N14,NA,NA,VCCINT 
P11,NA,NA,VCCINT 
P13,NA,NA,VCCINT 
P9,NA,NA,VCCINT 
R14,NA,NA,VCCINT 
B11,0,NA,VCCO_0 
B15,0,NA,VCCO_0 
B4,0,NA,VCCO_0 
B7,0,NA,VCCO_0 
E13,0,NA,VCCO_0 
E17,0,NA,VCCO_0 
E9,0,NA,VCCO_0 
G10,0,NA,VCCO_0 
AA19,1,NA,VCCO_1 
B19,1,NA,VCCO_1 
C21,1,NA,VCCO_1 
E19,1,NA,VCCO_1 
G14,1,NA,VCCO_1 
G21,1,NA,VCCO_1 
J18,1,NA,VCCO_1 
L16,1,NA,VCCO_1 
L21,1,NA,VCCO_1 
N18,1,NA,VCCO_1 
R21,1,NA,VCCO_1 
U18,1,NA,VCCO_1 
W21,1,NA,VCCO_1 
AA11,2,NA,VCCO_2 
AA15,2,NA,VCCO_2 
AA7,2,NA,VCCO_2 
T13,2,NA,VCCO_2 
T9,2,NA,VCCO_2 
V12,2,NA,VCCO_2 
V16,2,NA,VCCO_2 
V8,2,NA,VCCO_2 
AA3,3,NA,VCCO_3 
C2,3,NA,VCCO_3 
F4,3,NA,VCCO_3 
F6,3,NA,VCCO_3 
G2,3,NA,VCCO_3 
J5,3,NA,VCCO_3 
L2,3,NA,VCCO_3 
L7,3,NA,VCCO_3 
N5,3,NA,VCCO_3 
R2,3,NA,VCCO_3 
U5,3,NA,VCCO_3 
W2,3,NA,VCCO_3 
W5,3,NA,VCCO_3 
