SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S100E_PIN,XC3S100E_TYPE,XC3S250E_PIN,XC3S250E_TYPE,XC3S500E_PIN,XC3S500_TYPE,BANK,DIFFERENCE
D,12,D12,IO_L09N_1/LDC0,DUAL,IO_L09N_1/LDC0,DUAL,IO_L09N_1/LDC0,DUAL,1,.
D,13,D13,IO_L09P_1/HDC,DUAL,IO_L09P_1/HDC,DUAL,IO_L09P_1/HDC,DUAL,1,.
D,14,D14,N.C. (VCCINT),N.C. (VCCINT),VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,DIFF
E,1,E1,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3,.
E,2,E2,IP/VREF_3,VREF,IP/VREF_3,VREF,IP/VREF_3,VREF,3,.
E,3,E3,GND,GND,GND,GND,GND,GND,GND,.
E,12,E12,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
E,13,E13,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1,.
E,14,E14,GND,GND,GND,GND,GND,GND,GND,.
F,1,F1,IO_L05P_3/LHCLK2,LHCLK,IO_L05P_3/LHCLK2,LHCLK,IO_L05P_3/LHCLK2,LHCLK,3,.
F,2,F2,IO_L04N_3/LHCLK1,LHCLK,IO_L04N_3/LHCLK1,LHCLK,IO_L04N_3/LHCLK1,LHCLK,3,.
F,3,F3,IO_L04P_3/LHCLK0,LHCLK,IO_L04P_3/LHCLK0,LHCLK,IO_L04P_3/LHCLK0,LHCLK,3,.
F,12,F12,IO/A0,DUAL,IO/A0,DUAL,IO/A0,DUAL,1,.
F,13,F13,IO_L08N_1/A1,DUAL,IO_L08N_1/A1,DUAL,IO_L08N_1/A1,DUAL,1,.
F,14,F14,IO_L08P_1/A2,DUAL,IO_L08P_1/A2,DUAL,IO_L08P_1/A2,DUAL,1,.
G,1,G1,IO_L05N_3/LHCLK3/IRDY2,LHCLK,IO_L05N_3/LHCLK3/IRDY2,LHCLK,IO_L05N_3/LHCLK3/IRDY2,LHCLK,3,.
G,2,G2,GND,GND,GND,GND,GND,GND,GND,.
G,3,G3,IO_L06P_3/LHCLK4/TRDY2,LHCLK,IO_L06P_3/LHCLK4/TRDY2,LHCLK,IO_L06P_3/LHCLK4/TRDY2,LHCLK,3,.
G,12,G12,IP/VREF_1,VREF,IP/VREF_1,VREF,IP/VREF_1,VREF,1,.
G,13,G13,IO_L07N_1/A3/RHCLK7,RHCLK/DUAL,IO_L07N_1/A3/RHCLK7,RHCLK/DUAL,IO_L07N_1/A3/RHCLK7,RHCLK/DUAL,1,.
G,14,G14,IO_L07P_1/A4/RHCLK6,RHCLK/DUAL,IO_L07P_1/A4/RHCLK6,RHCLK/DUAL,IO_L07P_1/A4/RHCLK6,RHCLK/DUAL,1,.
H,1,H1,IO_L06N_3/LHCLK5,LHCLK,IO_L06N_3/LHCLK5,LHCLK,IO_L06N_3/LHCLK5,LHCLK,3,.
H,2,H2,IO_L07P_3/LHCLK6,LHCLK,IO_L07P_3/LHCLK6,LHCLK,IO_L07P_3/LHCLK6,LHCLK,3,.
H,3,H3,IO_L07N_3/LHCLK7,LHCLK,IO_L07N_3/LHCLK7,LHCLK,IO_L07N_3/LHCLK7,LHCLK,3,.
H,12,H12,IO_L06N_1/A5/RHCLK5,RHCLK/DUAL,IO_L06N_1/A5/RHCLK5,RHCLK/DUAL,IO_L06N_1/A5/RHCLK5,RHCLK/DUAL,1,.
H,13,H13,IO_L06P_1/A6/RHCLK4/IRDY1,RHCLK/DUAL,IO_L06P_1/A6/RHCLK4/IRDY1,RHCLK/DUAL,IO_L06P_1/A6/RHCLK4/IRDY1,RHCLK/DUAL,1,.
H,14,H14,GND,GND,GND,GND,GND,GND,GND,.
J,1,J1,GND,GND,GND,GND,GND,GND,GND,.
J,2,J2,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3,.
J,3,J3,IO,I/O,IO,I/O,IO,I/O,3,.
J,12,J12,IO_L04N_1/A9/RHCLK1,RHCLK/DUAL,IO_L04N_1/A9/RHCLK1,RHCLK/DUAL,IO_L04N_1/A9/RHCLK1,RHCLK/DUAL,1,.
J,13,J13,IO_L05P_1/A8/RHCLK2,RHCLK/DUAL,IO_L05P_1/A8/RHCLK2,RHCLK/DUAL,IO_L05P_1/A8/RHCLK2,RHCLK/DUAL,1,.
J,14,J14,IO_L05N_1/A7/RHCLK3/TRDY1,RHCLK/DUAL,IO_L05N_1/A7/RHCLK3/TRDY1,RHCLK/DUAL,IO_L05N_1/A7/RHCLK3/TRDY1,RHCLK/DUAL,1,.
K,1,K1,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
K,2,K2,N.C. (VCCINT),N.C. (VCCINT),VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,DIFF
K,3,K3,IP/VREF_3,VREF,IO/VREF_3,VREF,IO/VREF_3,VREF,3,DIFF
K,12,K12,GND,GND,GND,GND,GND,GND,GND,.
