Device/Package xc7z045fbg676 9/18/2012 10:02:27                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
L2    IO_L16N_T2_33            2                  33    NA            NA                  HP        NA
N4    IO_L17P_T2_33            2                  33    NA            NA                  HP        NA
M4    IO_L17N_T2_33            2                  33    NA            NA                  HP        NA
N1    IO_L18P_T2_33            2                  33    NA            NA                  HP        NA
M1    IO_L18N_T2_33            2                  33    NA            NA                  HP        NA
M7    IO_L19P_T3_33            3                  33    NA            NA                  HP        NA
L7    IO_L19N_T3_VREF_33       3                  33    NA            NA                  HP        NA
K5    IO_L20P_T3_33            3                  33    NA            NA                  HP        NA
J5    IO_L20N_T3_33            3                  33    NA            NA                  HP        NA
M8    IO_L21P_T3_DQS_33        3                  33    NA            NA                  HP        NA
L8    IO_L21N_T3_DQS_33        3                  33    NA            NA                  HP        NA
K6    IO_L22P_T3_33            3                  33    NA            NA                  HP        NA
J6    IO_L22N_T3_33            3                  33    NA            NA                  HP        NA
N7    IO_L23P_T3_33            3                  33    NA            NA                  HP        NA
N6    IO_L23N_T3_33            3                  33    NA            NA                  HP        NA
K8    IO_L24P_T3_33            3                  33    NA            NA                  HP        NA
K7    IO_L24N_T3_33            3                  33    NA            NA                  HP        NA
N8    IO_25_VRP_33             NA                 33    NA            NA                  HP        NA
K11   IO_0_VRN_34              NA                 34    NA            NA                  HP        NA
J11   IO_L1P_T0_34             0                  34    NA            NA                  HP        NA
H11   IO_L1N_T0_34             0                  34    NA            NA                  HP        NA
G6    IO_L2P_T0_34             0                  34    NA            NA                  HP        NA
G5    IO_L2N_T0_34             0                  34    NA            NA                  HP        NA
H9    IO_L3P_T0_DQS_PUDC_B_34  0                  34    NA            NA                  HP        NA
G9    IO_L3N_T0_DQS_34         0                  34    NA            NA                  HP        NA
H7    IO_L4P_T0_34             0                  34    NA            NA                  HP        NA
H6    IO_L4N_T0_34             0                  34    NA            NA                  HP        NA
J10   IO_L5P_T0_34             0                  34    NA            NA                  HP        NA
J9    IO_L5N_T0_34             0                  34    NA            NA                  HP        NA
J8    IO_L6P_T0_34             0                  34    NA            NA                  HP        NA
H8    IO_L6N_T0_VREF_34        0                  34    NA            NA                  HP        NA
F5    IO_L7P_T1_34             1                  34    NA            NA                  HP        NA
E5    IO_L7N_T1_34             1                  34    NA            NA                  HP        NA
D9    IO_L8P_T1_34             1                  34    NA            NA                  HP        NA
D8    IO_L8N_T1_34             1                  34    NA            NA                  HP        NA
F9    IO_L9P_T1_DQS_34         1                  34    NA            NA                  HP        NA
E8    IO_L9N_T1_DQS_34         1                  34    NA            NA                  HP        NA
E6    IO_L10P_T1_34            1                  34    NA            NA                  HP        NA
D5    IO_L10N_T1_34            1                  34    NA            NA                  HP        NA
F8    IO_L11P_T1_SRCC_34       1                  34    NA            NA                  HP        NA
E7    IO_L11N_T1_SRCC_34       1                  34    NA            NA                  HP        NA
G7    IO_L12P_T1_MRCC_34       1                  34    NA            NA                  HP        NA
F7    IO_L12N_T1_MRCC_34       1                  34    NA            NA                  HP        NA
C8    IO_L13P_T2_MRCC_34       2                  34    NA            NA                  HP        NA
C7    IO_L13N_T2_MRCC_34       2                  34    NA            NA                  HP        NA
D6    IO_L14P_T2_SRCC_34       2                  34    NA            NA                  HP        NA
C6    IO_L14N_T2_SRCC_34       2                  34    NA            NA                  HP        NA
C9    IO_L15P_T2_DQS_34        2                  34    NA            NA                  HP        NA
B9    IO_L15N_T2_DQS_34        2                  34    NA            NA                  HP        NA
B10   IO_L16P_T2_34            2                  34    NA            NA                  HP        NA
A10   IO_L16N_T2_34            2                  34    NA            NA                  HP        NA
A9    IO_L17P_T2_34            2                  34    NA            NA                  HP        NA
A8    IO_L17N_T2_34            2                  34    NA            NA                  HP        NA
B7    IO_L18P_T2_34            2                  34    NA            NA                  HP        NA
A7    IO_L18N_T2_34            2                  34    NA            NA                  HP        NA
C4    IO_L19P_T3_34            3                  34    NA            NA                  HP        NA
C3    IO_L19N_T3_VREF_34       3                  34    NA            NA                  HP        NA
B5    IO_L20P_T3_34            3                  34    NA            NA                  HP        NA
B4    IO_L20N_T3_34            3                  34    NA            NA                  HP        NA
B6    IO_L21P_T3_DQS_34        3                  34    NA            NA                  HP        NA
A5    IO_L21N_T3_DQS_34        3                  34    NA            NA                  HP        NA
