Device/Package xc7z045ffg900 9/18/2012 09:53:04                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
Y25   IO_0_12                  NA                 12    NA            NA                  HR        NA
Y30   IO_L1P_T0_12             0                  12    NA            NA                  HR        NA
AA30  IO_L1N_T0_12             0                  12    NA            NA                  HR        NA
AB29  IO_L2P_T0_12             0                  12    NA            NA                  HR        NA
AB30  IO_L2N_T0_12             0                  12    NA            NA                  HR        NA
Y26   IO_L3P_T0_DQS_12         0                  12    NA            NA                  HR        NA
Y27   IO_L3N_T0_DQS_12         0                  12    NA            NA                  HR        NA
Y28   IO_L4P_T0_12             0                  12    NA            NA                  HR        NA
AA29  IO_L4N_T0_12             0                  12    NA            NA                  HR        NA
AA27  IO_L5P_T0_12             0                  12    NA            NA                  HR        NA
AA28  IO_L5N_T0_12             0                  12    NA            NA                  HR        NA
AB25  IO_L6P_T0_12             0                  12    NA            NA                  HR        NA
AB26  IO_L6N_T0_VREF_12        0                  12    NA            NA                  HR        NA
AC26  IO_L7P_T1_12             1                  12    NA            NA                  HR        NA
AD26  IO_L7N_T1_12             1                  12    NA            NA                  HR        NA
AD30  IO_L8P_T1_12             1                  12    NA            NA                  HR        NA
AE30  IO_L8N_T1_12             1                  12    NA            NA                  HR        NA
AC29  IO_L9P_T1_DQS_12         1                  12    NA            NA                  HR        NA
AD29  IO_L9N_T1_DQS_12         1                  12    NA            NA                  HR        NA
AD25  IO_L10P_T1_12            1                  12    NA            NA                  HR        NA
AE26  IO_L10N_T1_12            1                  12    NA            NA                  HR        NA
AB27  IO_L11P_T1_SRCC_12       1                  12    NA            NA                  HR        NA
AC27  IO_L11N_T1_SRCC_12       1                  12    NA            NA                  HR        NA
AC28  IO_L12P_T1_MRCC_12       1                  12    NA            NA                  HR        NA
AD28  IO_L12N_T1_MRCC_12       1                  12    NA            NA                  HR        NA
AE28  IO_L13P_T2_MRCC_12       2                  12    NA            NA                  HR        NA
AF28  IO_L13N_T2_MRCC_12       2                  12    NA            NA                  HR        NA
AE27  IO_L14P_T2_SRCC_12       2                  12    NA            NA                  HR        NA
AF27  IO_L14N_T2_SRCC_12       2                  12    NA            NA                  HR        NA
AF29  IO_L15P_T2_DQS_12        2                  12    NA            NA                  HR        NA
AG29  IO_L15N_T2_DQS_12        2                  12    NA            NA                  HR        NA
AF30  IO_L16P_T2_12            2                  12    NA            NA                  HR        NA
AG30  IO_L16N_T2_12            2                  12    NA            NA                  HR        NA
AG26  IO_L17P_T2_12            2                  12    NA            NA                  HR        NA
AG27  IO_L17N_T2_12            2                  12    NA            NA                  HR        NA
AE25  IO_L18P_T2_12            2                  12    NA            NA                  HR        NA
AF25  IO_L18N_T2_12            2                  12    NA            NA                  HR        NA
AH28  IO_L19P_T3_12            3                  12    NA            NA                  HR        NA
AH29  IO_L19N_T3_VREF_12       3                  12    NA            NA                  HR        NA
AJ30  IO_L20P_T3_12            3                  12    NA            NA                  HR        NA
AK30  IO_L20N_T3_12            3                  12    NA            NA                  HR        NA
AJ28  IO_L21P_T3_DQS_12        3                  12    NA            NA                  HR        NA
AJ29  IO_L21N_T3_DQS_12        3                  12    NA            NA                  HR        NA
AK27  IO_L22P_T3_12            3                  12    NA            NA                  HR        NA
AK28  IO_L22N_T3_12            3                  12    NA            NA                  HR        NA
AH26  IO_L23P_T3_12            3                  12    NA            NA                  HR        NA
AH27  IO_L23N_T3_12            3                  12    NA            NA                  HR        NA
AJ26  IO_L24P_T3_12            3                  12    NA            NA                  HR        NA
AK26  IO_L24N_T3_12            3                  12    NA            NA                  HR        NA
AA25  IO_25_12                 NA                 12    NA            NA                  HR        NA
U21   IO_0_13                  NA                 13    NA            NA                  HR        NA
P30   IO_L1P_T0_13             0                  13    NA            NA                  HR        NA
R30   IO_L1N_T0_13             0                  13    NA            NA                  HR        NA
T30   IO_L2P_T0_13             0                  13    NA            NA                  HR        NA
U30   IO_L2N_T0_13             0                  13    NA            NA                  HR        NA
N28   IO_L3P_T0_DQS_13         0                  13    NA            NA                  HR        NA
P28   IO_L3N_T0_DQS_13         0                  13    NA            NA                  HR        NA
N29   IO_L4P_T0_13             0                  13    NA            NA                  HR        NA
P29   IO_L4N_T0_13             0                  13    NA            NA                  HR        NA
T29   IO_L5P_T0_13             0                  13    NA            NA                  HR        NA
U29   IO_L5N_T0_13             0                  13    NA            NA                  HR        NA
R28   IO_L6P_T0_13             0                  13    NA            NA                  HR        NA
T28   IO_L6N_T0_VREF_13        0                  13    NA            NA                  HR        NA
V28   IO_L7P_T1_13             1                  13    NA            NA                  HR        NA
V29   IO_L7N_T1_13             1                  13    NA            NA                  HR        NA
W29   IO_L8P_T1_13             1                  13    NA            NA                  HR        NA
W30   IO_L8N_T1_13             1                  13    NA            NA                  HR        NA
V27   IO_L9P_T1_DQS_13         1                  13    NA            NA                  HR        NA
W28   IO_L9N_T1_DQS_13         1                  13    NA            NA                  HR        NA
W25   IO_L10P_T1_13            1                  13    NA            NA                  HR        NA
W26   IO_L10N_T1_13            1                  13    NA            NA                  HR        NA
U25   IO_L11P_T1_SRCC_13       1                  13    NA            NA                  HR        NA
V26   IO_L11N_T1_SRCC_13       1                  13    NA            NA                  HR        NA
U26   IO_L12P_T1_MRCC_13       1                  13    NA            NA                  HR        NA
U27   IO_L12N_T1_MRCC_13       1                  13    NA            NA                  HR        NA
R25   IO_L13P_T2_MRCC_13       2                  13    NA            NA                  HR        NA
R26   IO_L13N_T2_MRCC_13       2                  13    NA            NA                  HR        NA
R27   IO_L14P_T2_SRCC_13       2                  13    NA            NA                  HR        NA
T27   IO_L14N_T2_SRCC_13       2                  13    NA            NA                  HR        NA
N26   IO_L15P_T2_DQS_13        2                  13    NA            NA                  HR        NA
N27   IO_L15N_T2_DQS_13        2                  13    NA            NA                  HR        NA
P25   IO_L16P_T2_13            2                  13    NA            NA                  HR        NA
P26   IO_L16N_T2_13            2                  13    NA            NA                  HR        NA
T24   IO_L17P_T2_13            2                  13    NA            NA                  HR        NA
T25   IO_L17N_T2_13            2                  13    NA            NA                  HR        NA
P23   IO_L18P_T2_13            2                  13    NA            NA                  HR        NA
P24   IO_L18N_T2_13            2                  13    NA            NA                  HR        NA
P21   IO_L19P_T3_13            3                  13    NA            NA                  HR        NA
R21   IO_L19N_T3_VREF_13       3                  13    NA            NA                  HR        NA
T22   IO_L20P_T3_13            3                  13    NA            NA                  HR        NA
T23   IO_L20N_T3_13            3                  13    NA            NA                  HR        NA
R22   IO_L21P_T3_DQS_13        3                  13    NA            NA                  HR        NA
R23   IO_L21N_T3_DQS_13        3                  13    NA            NA                  HR        NA
U22   IO_L22P_T3_13            3                  13    NA            NA                  HR        NA
V22   IO_L22N_T3_13            3                  13    NA            NA                  HR        NA
U24   IO_L23P_T3_13            3                  13    NA            NA                  HR        NA
V24   IO_L23N_T3_13            3                  13    NA            NA                  HR        NA
V23   IO_L24P_T3_13            3                  13    NA            NA                  HR        NA
W24   IO_L24N_T3_13            3                  13    NA            NA                  HR        NA
V21   IO_25_13                 NA                 13    NA            NA                  HR        NA
L5    IO_0_VRN_33              NA                 33    0             NA                  HP        NA
J4    IO_L1P_T0_33             0                  33    0             NA                  HP        NA
J3    IO_L1N_T0_33             0                  33    0             NA                  HP        NA
L1    IO_L2P_T0_33             0                  33    0             NA                  HP        NA
K1    IO_L2N_T0_33             0                  33    0             NA                  HP        NA
K3    IO_L3P_T0_DQS_33         0                  33    0             NA                  HP        NA
K2    IO_L3N_T0_DQS_33         0                  33    0             NA                  HP        NA
L3    IO_L4P_T0_33             0                  33    0             NA                  HP        NA
L2    IO_L4N_T0_33             0                  33    0             NA                  HP        NA
K5    IO_L5P_T0_33             0                  33    0             NA                  HP        NA
J5    IO_L5N_T0_33             0                  33    0             NA                  HP        NA
K6    IO_L6P_T0_33             0                  33    0             NA                  HP        NA
J6    IO_L6N_T0_VREF_33        0                  33    0             NA                  HP        NA
G2    IO_L7P_T1_33             1                  33    0             NA                  HP        NA
F2    IO_L7N_T1_33             1                  33    0             NA                  HP        NA
H6    IO_L8P_T1_33             1                  33    0             NA                  HP        NA
G6    IO_L8N_T1_33             1                  33    0             NA                  HP        NA
J1    IO_L9P_T1_DQS_33         1                  33    0             NA                  HP        NA
H1    IO_L9N_T1_DQS_33         1                  33    0             NA                  HP        NA
H2    IO_L10P_T1_33            1                  33    0             NA                  HP        NA
G1    IO_L10N_T1_33            1                  33    0             NA                  HP        NA
H4    IO_L11P_T1_SRCC_33       1                  33    0             NA                  HP        NA
H3    IO_L11N_T1_SRCC_33       1                  33    0             NA                  HP        NA
G5    IO_L12P_T1_MRCC_33       1                  33    0             NA                  HP        NA
G4    IO_L12N_T1_MRCC_33       1                  33    0             NA                  HP        NA
F5    IO_L13P_T2_MRCC_33       2                  33    0             NA                  HP        NA
